,District,Price,Tel,combined_bs,cooking_space,dist,floor,house_type,lat,link,living_space,lon,metro_station,metro_time,new,rooms,separate_bs,total_floors,total_space,walk,metro_time_non,total_floors_non,living_space_non,cooking_space_non
86,0,64865000,0,0,18.0,2.83258389306,4,монолитный,55.722142,150531797,87.0,37.618569,Добрынинская,5.0,0,4.0,0,12.0,154.0,1.0,0,0,0,0
87,0,8081363,0,1,9.01186393805,5.90357060989,2,Else,55.776294,149808778,28.4114849481,37.672163,Бауманская,5.0,0,1.0,0,5.0,55.2,1.0,0,0,1,1
88,0,8081363,0,1,9.01186393805,5.90357060989,2,Else,55.776294,149808771,28.4114849481,37.672163,Бауманская,5.0,0,2.0,0,5.0,55.2,1.0,0,0,1,1
89,0,8081363,0,1,9.01186393805,5.90223679683,2,кирпичный,55.775824,148800461,55.2,37.67228,Красносельская,5.0,0,2.0,0,6.0,55.2,1.0,0,0,0,1
90,0,8081363,0,1,9.01186393805,5.86425031966,2,Else,55.775753,149031323,55.2,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,55.2,1.0,0,1,0,1
91,0,8100000,1,1,5.0,4.72239920736,6,Else,55.786465,150436616,19.3,37.655894,Красносельская,14.0,0,1.0,0,8.0,33.8,1.0,0,0,0,0
92,0,8100000,0,1,6.0,6.58713136338,3,кирпичный,55.757962,149298419,19.0,37.562937,Улица 1905 года,10.0,0,1.0,0,5.0,31.0,1.0,0,0,0,0
93,0,8112552,0,1,9.01186393805,5.86425031966,2,Else,55.775753,149031339,39.8,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,39.8,1.0,0,1,0,1
94,0,8157500,0,1,9.01186393805,6.54163325587,3,Else,55.770244,148778282,28.4114849481,37.564689,Улица 1905 года,7.0,0,1.0,0,44.0,43.0,1.0,0,0,1,1
95,0,8168388,0,1,9.01186393805,5.90223679683,2,кирпичный,55.775824,150118455,40.8,37.67228,Красносельская,5.0,0,2.0,0,6.0,40.8,1.0,0,0,0,1
